code,scaling,style,nodes,lang,mean_2025,sd_2025,n_2025,mean_2026_nolto,sd_2026,n_2026,ratio_2026_over_2025
pic,strong,GEOMETRIC,1,c,73.4036,0.6364,10,72.3164,0.5831,10,0.9852
pic,strong,GEOMETRIC,1,rust,71.379,1.3271,10,69.697,1.0312,10,0.9764
pic,strong,GEOMETRIC,2,c,121.0167,3.0882,10,121.5712,2.2506,10,1.0046
pic,strong,GEOMETRIC,2,rust,128.4446,0.3764,10,117.7916,4.25,10,0.9171
pic,strong,GEOMETRIC,4,c,167.7317,10.5376,10,170.7305,3.7323,10,1.0179
pic,strong,GEOMETRIC,4,rust,186.3072,11.3033,10,167.3481,9.7686,10,0.8982
pic,strong,LINEAR,1,c,197.0316,5.4268,10,196.724,6.17,10,0.9984
pic,strong,LINEAR,1,rust,147.7949,3.2329,10,141.916,4.3211,10,0.9602
pic,strong,LINEAR,2,c,347.3968,20.5838,10,348.1476,20.4209,10,1.0022
pic,strong,LINEAR,2,rust,296.6454,12.6292,10,265.5906,52.9746,10,0.8953
pic,strong,LINEAR,4,c,593.6566,25.7867,10,585.0383,30.5756,10,0.9855
pic,strong,LINEAR,4,rust,636.9054,40.7837,10,477.9737,63.0456,10,0.7505
pic,strong,PATCH,1,c,14.3532,0.0171,10,14.1931,0.0156,10,0.9888
pic,strong,PATCH,1,rust,15.6884,0.0978,10,15.4785,0.1296,10,0.9866
pic,strong,PATCH,2,c,20.8761,0.0534,10,20.7974,0.0275,10,0.9962
pic,strong,PATCH,2,rust,22.9793,0.0586,10,22.7149,0.0617,10,0.9885
pic,strong,PATCH,4,c,20.1191,0.0228,10,19.9175,0.029,10,0.99
pic,strong,PATCH,4,rust,21.8222,0.0559,10,21.3786,0.1987,10,0.9797
pic,strong,SINUSOIDAL,1,c,124.2926,3.1137,10,123.3297,3.0045,10,0.9923
pic,strong,SINUSOIDAL,1,rust,105.0113,1.758,10,99.5522,2.7816,10,0.948
pic,strong,SINUSOIDAL,2,c,234.4049,11.9055,10,235.5317,10.7995,10,1.0048
pic,strong,SINUSOIDAL,2,rust,202.854,8.406,10,193.045,13.0316,10,0.9516
pic,strong,SINUSOIDAL,4,c,378.1582,15.9257,10,384.6164,33.1021,10,1.0171
pic,strong,SINUSOIDAL,4,rust,388.8945,16.4604,10,327.6568,31.1123,10,0.8425
pic,weak,GEOMETRIC,1,c,72.9397,1.6821,10,72.0063,0.9359,10,0.9872
pic,weak,GEOMETRIC,1,rust,71.7082,0.8705,10,69.6418,0.5256,10,0.9712
pic,weak,GEOMETRIC,2,c,123.5023,0.3895,10,122.9103,1.1919,10,0.9952
pic,weak,GEOMETRIC,2,rust,126.2809,1.5091,10,121.2923,5.2305,10,0.9605
pic,weak,GEOMETRIC,4,c,181.7329,1.5355,10,180.8016,1.9104,10,0.9949
pic,weak,GEOMETRIC,4,rust,192.1002,1.3635,10,187.811,2.1009,10,0.9777
pic,weak,LINEAR,1,c,207.6744,3.0819,10,207.5341,4.3517,10,0.9993
pic,weak,LINEAR,1,rust,131.9325,0.977,10,129.6616,2.5178,10,0.9828
pic,weak,LINEAR,2,c,391.9704,15.473,10,388.9823,7.675,10,0.9924
pic,weak,LINEAR,2,rust,262.2176,1.1852,10,254.5529,6.5875,10,0.9708
pic,weak,LINEAR,4,c,745.0738,11.4928,10,736.0745,24.1163,10,0.9879
pic,weak,LINEAR,4,rust,519.1192,2.309,10,495.493,12.7738,10,0.9545
pic,weak,PATCH,1,c,14.3619,0.0117,10,14.1993,0.0132,10,0.9887
pic,weak,PATCH,1,rust,16.0015,0.0536,10,15.5898,0.1145,10,0.9743
pic,weak,PATCH,2,c,20.8358,0.0228,10,20.8464,0.0155,10,1.0005
pic,weak,PATCH,2,rust,23.0349,0.1014,10,22.9017,0.029,10,0.9942
pic,weak,PATCH,4,c,20.0631,0.0165,10,19.9684,0.0215,10,0.9953
pic,weak,PATCH,4,rust,22.0688,0.0685,10,21.6271,0.0967,10,0.98
pic,weak,SINUSOIDAL,1,c,125.598,2.4077,10,125.7167,1.312,10,1.0009
pic,weak,SINUSOIDAL,1,rust,103.8218,2.245,10,101.4874,1.4423,10,0.9775
pic,weak,SINUSOIDAL,2,c,240.4929,5.65,10,241.6452,3.7322,10,1.0048
pic,weak,SINUSOIDAL,2,rust,202.82,1.6223,10,195.0778,7.364,10,0.9618
pic,weak,SINUSOIDAL,4,c,456.6037,6.7473,10,458.3788,7.1216,10,1.0039
pic,weak,SINUSOIDAL,4,rust,392.4038,10.882,10,377.5499,3.5456,10,0.9621
solctra,strong,NA,1,c,479.612,0.5965,10,480.252,0.5207,5,1.0013
solctra,strong,NA,1,rust,475.6147,0.2376,10,476.3407,0.0575,5,1.0015
solctra,strong,NA,2,c,239.462,0.1781,10,239.594,0.1144,5,1.0006
solctra,strong,NA,2,rust,238.6524,0.1224,10,238.7157,0.0968,5,1.0003
solctra,strong,NA,4,c,122.914,0.8679,10,120.556,0.3812,5,0.9808
solctra,strong,NA,4,rust,119.9313,0.076,10,120.2373,0.1915,5,1.0026
