code,lang,lto,nodes,ranks,scaling,style,rep,metric
pic,c,0,1,20,strong,GEOMETRIC,0,73.118567
pic,c,1,1,20,strong,GEOMETRIC,0,74.910529
pic,rust,0,1,20,strong,GEOMETRIC,0,69.798377
pic,rust,1,1,20,strong,GEOMETRIC,0,70.202059
pic,c,0,1,20,strong,GEOMETRIC,1,72.528752
pic,c,1,1,20,strong,GEOMETRIC,1,74.151437
pic,rust,0,1,20,strong,GEOMETRIC,1,70.243539
pic,rust,1,1,20,strong,GEOMETRIC,1,67.888074
pic,c,0,1,20,strong,GEOMETRIC,2,72.564608
pic,c,1,1,20,strong,GEOMETRIC,2,75.123713
pic,rust,0,1,20,strong,GEOMETRIC,2,69.96572
pic,rust,1,1,20,strong,GEOMETRIC,2,69.255663
pic,c,0,1,20,strong,GEOMETRIC,3,71.341265
pic,c,1,1,20,strong,GEOMETRIC,3,75.246424
pic,rust,0,1,20,strong,GEOMETRIC,3,66.863852
pic,rust,1,1,20,strong,GEOMETRIC,3,70.529532
pic,c,0,1,20,strong,GEOMETRIC,4,72.496608
pic,c,1,1,20,strong,GEOMETRIC,4,73.840897
pic,rust,0,1,20,strong,GEOMETRIC,4,70.401203
pic,rust,1,1,20,strong,GEOMETRIC,4,70.409721
pic,c,0,1,20,strong,GEOMETRIC,5,72.358761
pic,c,1,1,20,strong,GEOMETRIC,5,73.923189
pic,rust,0,1,20,strong,GEOMETRIC,5,70.171179
pic,rust,1,1,20,strong,GEOMETRIC,5,70.811957
pic,c,0,1,20,strong,GEOMETRIC,6,72.544809
pic,c,1,1,20,strong,GEOMETRIC,6,75.199228
pic,rust,0,1,20,strong,GEOMETRIC,6,69.713651
pic,rust,1,1,20,strong,GEOMETRIC,6,69.054281
pic,c,0,1,20,strong,GEOMETRIC,7,72.271941
pic,c,1,1,20,strong,GEOMETRIC,7,75.224892
pic,rust,0,1,20,strong,GEOMETRIC,7,69.785554
pic,rust,1,1,20,strong,GEOMETRIC,7,70.630254
pic,c,0,1,20,strong,GEOMETRIC,8,72.686663
pic,c,1,1,20,strong,GEOMETRIC,8,72.85007
